Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,915931.16,911688.55,953824.2,943291.78,934143.87,958575.36,939540.9,954378.29,957149.86,970130.94,1002039.68,1062739.94,-
ii. Demand Deposits,1648802.84,1644796.24,1685600.67,1680039.38,1691127.58,1733819.96,1685723.41,1672331.43,1715257.86,1727610.15,1820254.38,1776745.12,-
Total (M1 = i+ii),2564734,2556484.8,2639424.87,2623331.16,2625271.45,2692395.31,2625264.31,2626709.72,2672407.72,2697741.09,2822294.06,2839485.06,-
iii. Currency Composition (%),36,36,36,36,36,36,36,36,36,36,36,36,-
iv. Demand Deposits Composition (%),64,64,64,64,64,64,64,64,64,64,64,64,-
v. Quasi Money,6128684.07,6152725.21,6221532.92,6271595.11,6306931.76,6253307.04,6268568.28,6245556.95,6267567.18,6275096.11,6246192.5,6257143.17,-
vi. Securities Except Stocks,28531.62,30364.28,30466.83,31539.29,36617.9,69652.69,89550.76,103245.2,108023.8,109917.9,107264.1,114187.5,-
Total (M2 = M1 + v + vi),8721949.69,8739574.29,8891424.62,8926465.56,8968821.11,9015355.05,8983383.35,8975511.86,9047998.7,9082755.11,9175750.66,9210815.72,-
