Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2016,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,439871.75,422149.44,420213.6,435295.81,440659.81,511294.54,474245.9,466501.59,469541.7,467318.21,476850.39,508123.74,-
ii. Demand Deposits,606385.47,613401.24,644524.29,653916.39,678108.44,673034.38,670254.93,669046.6,656504.34,675467.6,705879.5,729518.83,-
Total (M1 = i+ii),1046257.23,1035550.68,1064737.89,1089212.2,1118768.26,1184328.91,1144500.83,1135548.18,1126046.04,1142785.81,1182729.89,1237642.57,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,3436491.53,3473032.74,3483693.59,3479713.44,3483441.77,3539326.36,3573996.94,3596408.05,3599248.32,3622679.23,3671427.29,3753809.13,-
vi. Securities Except Stocks,15612.52,13367.78,13441.04,12952.23,11851.79,13795.95,11881.91,14070.45,12336.4,13013.85,14493.97,13525.09,-
Total (M2 = M1 + v + vi),4498361.28,4521951.2,4561872.52,4581877.87,4614061.82,4737451.23,4730379.68,4746026.68,4737630.76,4778478.89,4868651.16,5004976.79,-
