Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2013,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,326828.94,321483.32,331168.76,324333.2,334033.38,347146.05,383931.57,359417.43,360078.55,363797.12,375784.44,399606.17,-
ii. Demand Deposits,461030.73,465065.35,478886,507880.29,488843.1,511352.94,496054.45,496365.36,507636.37,492374.09,494632.41,487474.84,-
Total (M1 = i+ii),787859.68,786548.67,810054.88,832213.49,822876.47,858498.99,879986.02,855782.79,867714.92,856171.21,870416.85,887081.01,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,2470100.52,2483011.08,2500341.82,2515812.95,2588093.69,2543285.31,2608174.7,2625945.65,2691972.08,2697733.6,2720863.85,2820310.68,-
vi. Securities Except Stocks,10828.95,10860.5,12132,12901.63,15334.75,11594.36,18412.87,20691.35,24393.54,22964.55,24692.26,22805.32,-
Total (M2 = M1 + v + vi),3268789.15,3280420.25,3322528.96,3360928.07,3426304.92,3413378.66,3506573.6,3502419.8,3584080.54,3576869.35,3615972.96,3730197.02,-
